iteration	energy	residual_norm	L2-error	H1-error
3160	-7.336305e+01	4.482931e-02	1.738777e-02	1.107641e-01
3170	-7.336305e+01	1.985771e-04	1.730387e-02	1.107479e-01
3180	-7.336305e+01	4.370704e-04	1.730274e-02	1.107271e-01
3190	-7.336305e+01	1.185679e-02	1.728635e-02	1.107135e-01
3200	-7.336305e+01	2.276118e-05	1.726048e-02	1.107051e-01
3210	-7.336305e+01	1.291173e-03	1.720873e-02	1.106897e-01
3220	-7.336306e+01	1.369243e-01	1.751492e-02	1.112762e-01
3230	-7.336307e+01	1.040784e-02	1.738844e-02	1.112998e-01
3240	-7.336308e+01	6.017814e-04	1.732004e-02	1.112976e-01
3250	-7.336308e+01	2.080197e-04	1.733382e-02	1.113058e-01
3260	-7.336308e+01	1.144385e-03	1.733664e-02	1.113060e-01
3270	-7.336308e+01	1.694393e-03	1.729404e-02	1.112853e-01
3280	-7.336308e+01	4.224822e-05	1.732669e-02	1.112957e-01
3290	-7.336309e+01	5.017795e-05	1.733095e-02	1.112979e-01
3300	-7.336308e+01	6.014571e-04	1.732443e-02	1.113084e-01
3310	-7.336308e+01	1.859437e-05	1.732454e-02	1.113086e-01
3320	-7.336308e+01	5.564502e-04	1.732290e-02	1.113081e-01
3330	-7.336308e+01	6.453153e-02	1.734993e-02	1.113145e-01
3340	-7.336309e+01	1.880218e-04	1.720393e-02	1.113121e-01
3350	-7.336309e+01	9.667198e-04	1.734985e-02	1.113723e-01
3360	-7.336309e+01	4.785322e-03	1.724565e-02	1.113463e-01
3370	-7.336309e+01	7.366729e-05	1.734438e-02	1.114189e-01
3380	-7.336309e+01	1.642620e-04	1.734533e-02	1.114193e-01
3390	-7.336309e+01	1.233781e-03	1.733491e-02	1.114069e-01
3400	-7.336309e+01	3.761325e-04	1.733376e-02	1.114060e-01
3410	-7.336309e+01	2.001187e-04	1.733467e-02	1.114060e-01
3420	-7.336309e+01	1.201616e-04	1.730631e-02	1.113125e-01
3430	-7.336309e+01	3.019375e-04	1.727026e-02	1.112964e-01
3440	-7.336309e+01	1.412192e-03	1.732270e-02	1.113492e-01
3450	-7.336309e+01	5.732632e-05	1.731102e-02	1.113455e-01
3460	-7.336309e+01	7.603825e-02	1.734768e-02	1.113566e-01
3470	-7.336309e+01	1.025832e-03	1.734327e-02	1.114270e-01
3480	-7.336310e+01	7.386354e-04	1.734987e-02	1.114377e-01
3490	-7.336309e+01	4.918583e-03	1.720503e-02	1.114520e-01
3500	-7.336310e+01	3.282854e-04	1.745539e-02	1.116687e-01
3510	-7.336311e+01	2.447081e-03	1.786605e-02	1.122263e-01
3520	-7.336311e+01	1.977574e-04	1.767682e-02	1.121898e-01
